,Unnamed: 0,Drive Name,Size,"Disk Rating
(higher is better)","Rank
(lower is better)","Drive Value
(higher is better)","Price
(USD)",lien,Sequential Read,Sequential Write,Random Seek Read Write (IOPS 32KQD20),IOPS 4KQD1
0,29,Acer SSD FA100 1TB,953.9 GB,"20,813",1044,166.51,$124.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Acer%20SSD%20FA100%201TB&id=28387,"2,504 MBytes/Sec","2,248 MBytes/Sec","1,465 MBytes/Sec",70 MBytes/Sec
1,30,Acer SSD FA100 256GB,238.5 GB,"12,593",2120,629.96,$19.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Acer%20SSD%20FA100%20256GB&id=30823,"1,508 MBytes/Sec","1,072 MBytes/Sec",905 MBytes/Sec,59 MBytes/Sec
2,31,Acer SSD FA100 512GB,476.9 GB,"17,385",1429,621.11,$27.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Acer%20SSD%20FA100%20512GB&id=29601,"2,467 MBytes/Sec","1,500 MBytes/Sec",990 MBytes/Sec,63 MBytes/Sec
3,34,Acer SSD SA100 240GB,223.6 GB,"3,491",4844,183.84,$18.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Acer%20SSD%20SA100%20240GB&id=28791,456 MBytes/Sec,304 MBytes/Sec,225 MBytes/Sec,26 MBytes/Sec
4,35,Acer SSD SA100 480GB,447.1 GB,"3,419",4989,148.74,$22.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Acer%20SSD%20SA100%20480GB&id=28598,479 MBytes/Sec,318 MBytes/Sec,177 MBytes/Sec,24 MBytes/Sec
5,40,ADATA FALCON,953.9 GB,"18,116",1335,301.99,$59.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20FALCON&id=26548,"2,487 MBytes/Sec","1,246 MBytes/Sec","1,426 MBytes/Sec",40 MBytes/Sec
6,48,ADATA LEGEND 700,953.9 GB,"15,757",1614,164.15,$95.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20700&id=31533,"2,354 MBytes/Sec","1,645 MBytes/Sec",795 MBytes/Sec,33 MBytes/Sec
7,53,ADATA LEGEND 710,953.9 GB,"17,809",1369,378.92,$47.00,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20710&id=31962,"2,042 MBytes/Sec","1,812 MBytes/Sec","1,339 MBytes/Sec",65 MBytes/Sec
8,56,ADATA LEGEND 740,931.5 GB,"21,576",934,479.57,$44.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20740&id=30674,"2,541 MBytes/Sec","1,890 MBytes/Sec","1,585 MBytes/Sec",56 MBytes/Sec
9,59,ADATA LEGEND 750,931.5 GB,"24,184",694,264.91,$91.29,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20750&id=30621,"3,438 MBytes/Sec","2,892 MBytes/Sec",829 MBytes/Sec,71 MBytes/Sec
10,63,ADATA LEGEND 800,931.5 GB,"21,220",1003,471.65,$44.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20800&id=33805,"3,344 MBytes/Sec","2,443 MBytes/Sec","1,011 MBytes/Sec",48 MBytes/Sec
11,64,ADATA LEGEND 840,953.9 GB,"31,655",403,162.43,$194.88,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20840&id=29805,"3,570 MBytes/Sec","3,208 MBytes/Sec","2,471 MBytes/Sec",83 MBytes/Sec
12,69,ADATA LEGEND 850 LITE,931.5 GB,"28,557",493,595.07,$47.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20850%20LITE&id=34279,"4,472 MBytes/Sec","3,920 MBytes/Sec","1,088 MBytes/Sec",39 MBytes/Sec
13,71,ADATA LEGEND 960,953.9 GB,"43,388",139,619.92,$69.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20960&id=32760,"5,688 MBytes/Sec","4,632 MBytes/Sec","2,877 MBytes/Sec",105 MBytes/Sec
14,76,ADATA Permier SP550 480GB,447.1 GB,"3,921",4057,37.35,$105.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20Permier%20SP550%20480GB&id=10320,447 MBytes/Sec,327 MBytes/Sec,296 MBytes/Sec,35 MBytes/Sec
15,80,ADATA Permier SP600 32GB,29.8 GB,948,8218,8.3,$114.16*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20Permier%20SP600%2032GB&id=3981,177 MBytes/Sec,45 MBytes/Sec,45 MBytes/Sec,19 MBytes/Sec
16,83,ADATA Premier Pro SP900 128GB,119.2 GB,"2,675",6409,11.55,$231.51,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20Premier%20Pro%20SP900%20128GB&id=168,328 MBytes/Sec,203 MBytes/Sec,203 MBytes/Sec,25 MBytes/Sec
17,84,ADATA Premier Pro SP900 256GB,238.5 GB,"3,602",4631,41.33,$87.14*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20Premier%20Pro%20SP900%20256GB&id=3397,389 MBytes/Sec,323 MBytes/Sec,290 MBytes/Sec,27 MBytes/Sec
18,86,ADATA Premier Pro SP900 64GB,59.6 GB,"2,224",7030,9.59,$231.92,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20Premier%20Pro%20SP900%2064GB&id=13575,318 MBytes/Sec,136 MBytes/Sec,151 MBytes/Sec,23 MBytes/Sec
19,91,ADATA Premier SP600 128GB,119.2 GB,"2,370",6859,37.83,$62.65*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20Premier%20SP600%20128GB&id=3313,360 MBytes/Sec,156 MBytes/Sec,127 MBytes/Sec,29 MBytes/Sec
20,92,ADATA Premier SP600 256GB,238.5 GB,"3,006",5829,13.6,$221.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20Premier%20SP600%20256GB&id=18890,405 MBytes/Sec,251 MBytes/Sec,168 MBytes/Sec,32 MBytes/Sec
21,95,ADATA S396 30GB,29.8 GB,"1,174",7937,18.19,$64.53*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20S396%2030GB&id=201,NA,NA,NA,NA
22,96,ADATA S510 120GB,111.8 GB,"2,438",6768,15.87,$153.55*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20S510%20120GB&id=409,285 MBytes/Sec,195 MBytes/Sec,185 MBytes/Sec,27 MBytes/Sec
23,99,ADATA S596 Turbo,29.8 GB,956,8203,3.82,$250.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20S596%20Turbo&id=109,NA,NA,NA,NA
24,104,ADATA SD600,238.5 GB,"2,377",6849,21.61,$110.00,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20SD600&id=25723,263 MBytes/Sec,222 MBytes/Sec,165 MBytes/Sec,19 MBytes/Sec
25,112,ADATA SP310,59.6 GB,"1,698",7468,13.48,$126.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20SP310&id=6893,NA,NA,NA,NA
26,115,ADATA SP580,111.8 GB,"2,255",6994,56.4,$39.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20SP580&id=12566,368 MBytes/Sec,175 MBytes/Sec,98 MBytes/Sec,18 MBytes/Sec
27,118,ADATA SP610,238.5 GB,"3,364",5096,18.88,$178.15*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20SP610&id=7692,454 MBytes/Sec,244 MBytes/Sec,231 MBytes/Sec,33 MBytes/Sec
28,148,ADATA SU630,223.6 GB,"3,168",5511,158.86,$19.94,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20SU630&id=22572,413 MBytes/Sec,257 MBytes/Sec,213 MBytes/Sec,23 MBytes/Sec
29,151,ADATA SU635,223.6 GB,"3,309",5222,165.54,$19.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20SU635&id=23487,426 MBytes/Sec,272 MBytes/Sec,217 MBytes/Sec,23 MBytes/Sec
30,156,ADATA SU650,447.1 GB,"3,451",4927,53.97,$63.94*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20SU650&id=20236,464 MBytes/Sec,276 MBytes/Sec,225 MBytes/Sec,23 MBytes/Sec
31,158,ADATA SU650,111.8 GB,"3,051",5746,201.12,$15.17,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20SU650&id=14790,407 MBytes/Sec,246 MBytes/Sec,191 MBytes/Sec,23 MBytes/Sec
32,160,ADATA SU650NS38,223.6 GB,"3,238",5380,68.9,$46.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20SU650NS38&id=24676,447 MBytes/Sec,261 MBytes/Sec,185 MBytes/Sec,27 MBytes/Sec
